locus_tag	ftype	length_bp	gene	EC_number	COG	product
MFNABGGJ_01292	CDS	1470	der		COG1160	GTPase Der
MFNABGGJ_01293	CDS	1206	bamB		COG1520	Outer membrane protein assembly factor BamB
MFNABGGJ_01294	CDS	642				hypothetical protein
MFNABGGJ_01295	CDS	1290	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
MFNABGGJ_01296	CDS	1110	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
MFNABGGJ_01297	CDS	984	rodZ		COG1426	Cytoskeleton protein RodZ
MFNABGGJ_01298	CDS	759	lapB			Lipopolysaccharide assembly protein B
MFNABGGJ_01299	CDS	1149	rlmN	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
MFNABGGJ_01300	CDS	426	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
MFNABGGJ_01301	CDS	201	iscX		COG2975	Protein IscX
MFNABGGJ_01302	CDS	342	fdx_2		COG0633	2Fe-2S ferredoxin
MFNABGGJ_01303	CDS	1863	hscA		COG0443	Chaperone protein HscA
MFNABGGJ_01304	CDS	522	hscB		COG1076	Co-chaperone protein HscB
MFNABGGJ_01305	CDS	324	iscA		COG0316	Iron-binding protein IscA
MFNABGGJ_01306	CDS	387	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
MFNABGGJ_01307	CDS	1215	iscS_1	2.8.1.7	COG1104	Cysteine desulfurase IscS
MFNABGGJ_01308	CDS	492	iscR		COG1959	HTH-type transcriptional regulator IscR
MFNABGGJ_01309	CDS	786	cysE	2.3.1.30	COG1045	Serine acetyltransferase
MFNABGGJ_01310	CDS	771	trmJ	2.1.1.-		tRNA (cytidine/uridine/adenosine-2'-O-)-methyltransferase TrmJ
MFNABGGJ_01311	CDS	816	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase
MFNABGGJ_01312	CDS	549				hypothetical protein
MFNABGGJ_01313	CDS	915	secF		COG0341	Protein translocase subunit SecF
MFNABGGJ_01314	CDS	1869	secD		COG0342	Protein translocase subunit SecD
MFNABGGJ_01315	CDS	339	yajC		COG1862	Sec translocon accessory complex subunit YajC
MFNABGGJ_01316	CDS	1125	tgt	2.4.2.29	COG0343	Queuine tRNA-ribosyltransferase
MFNABGGJ_01317	CDS	1050	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
MFNABGGJ_01318	tRNA	85				tRNA-Leu(caa)
MFNABGGJ_01319	CDS	330				hypothetical protein
MFNABGGJ_01320	CDS	636	leuE_2		COG1280	Leucine efflux protein
MFNABGGJ_01321	CDS	369				hypothetical protein
MFNABGGJ_01322	CDS	321				hypothetical protein
MFNABGGJ_01323	CDS	1164				hypothetical protein
MFNABGGJ_01324	CDS	279	cim			Cloacin immunity protein
MFNABGGJ_01325	CDS	471				hypothetical protein
MFNABGGJ_01326	CDS	1398	qseC_1	2.7.13.3		Sensor protein QseC
MFNABGGJ_01327	CDS	663	basR			Transcriptional regulatory protein BasR
MFNABGGJ_01328	CDS	267				hypothetical protein
MFNABGGJ_01329	CDS	546				hypothetical protein
MFNABGGJ_01330	CDS	1269				hypothetical protein
MFNABGGJ_01331	CDS	600				hypothetical protein
MFNABGGJ_01332	CDS	2019				hypothetical protein
MFNABGGJ_01333	CDS	477				hypothetical protein
MFNABGGJ_01334	CDS	495				hypothetical protein
MFNABGGJ_01335	CDS	1092	mdh	1.1.1.244		NAD-dependent methanol dehydrogenase
MFNABGGJ_01336	CDS	1296	glpT_2		COG2271	Glycerol-3-phosphate transporter
MFNABGGJ_01337	CDS	873	cmpR_4			HTH-type transcriptional activator CmpR
MFNABGGJ_01338	CDS	828	phnX_1	3.11.1.1	COG0637	Phosphonoacetaldehyde hydrolase
MFNABGGJ_01339	CDS	966				hypothetical protein
MFNABGGJ_01340	CDS	945			COG3039	IS5 family transposase IS4811
MFNABGGJ_01341	CDS	447				hypothetical protein
MFNABGGJ_01342	CDS	384				hypothetical protein
MFNABGGJ_01343	CDS	522				hypothetical protein
MFNABGGJ_01344	CDS	720				hypothetical protein
MFNABGGJ_01345	CDS	378	rssB_2			Regulator of RpoS
MFNABGGJ_01346	CDS	615				hypothetical protein
MFNABGGJ_01347	CDS	2229	cph1_1	2.7.13.3		Phytochrome-like protein cph1
MFNABGGJ_01348	CDS	1320	sasA_4	2.7.-.-		Adaptive-response sensory-kinase SasA
MFNABGGJ_01349	CDS	711	ompR_2			Transcriptional regulatory protein OmpR
MFNABGGJ_01350	CDS	789	mlaA_1		COG2853	Intermembrane phospholipid transport system lipoprotein MlaA
MFNABGGJ_01351	CDS	279				hypothetical protein
MFNABGGJ_01352	CDS	207				hypothetical protein
MFNABGGJ_01353	CDS	1920				hypothetical protein
MFNABGGJ_01354	CDS	1014				hypothetical protein
MFNABGGJ_01355	CDS	1029	yhdW_1			Putative amino-acid ABC transporter-binding protein YhdW
MFNABGGJ_01356	CDS	894	gcvA_3			Glycine cleavage system transcriptional activator
MFNABGGJ_01357	CDS	1251	davT_1	2.6.1.48	COG0160	5-aminovalerate aminotransferase DavT
MFNABGGJ_01358	CDS	384				hypothetical protein
MFNABGGJ_01359	CDS	270				hypothetical protein
MFNABGGJ_01360	CDS	1338	oprB_1		COG3659	Porin B
MFNABGGJ_01361	CDS	2418	gcd	1.1.5.2	COG4993	Quinoprotein glucose dehydrogenase
MFNABGGJ_01362	CDS	2391				hypothetical protein
MFNABGGJ_01363	CDS	1173				hypothetical protein
MFNABGGJ_01364	CDS	975	yjiA_1	3.6.-.-	COG0523	P-loop guanosine triphosphatase YjiA
MFNABGGJ_01365	CDS	300				hypothetical protein
MFNABGGJ_01366	CDS	750	fabG_4	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
MFNABGGJ_01367	CDS	762	gdh	1.1.1.47	COG1028	Glucose 1-dehydrogenase
MFNABGGJ_01368	CDS	1341	naiP_1			Putative niacin/nicotinamide transporter NaiP
MFNABGGJ_01369	CDS	879	pgdA	3.5.1.-		Peptidoglycan deacetylase
MFNABGGJ_01370	CDS	1344	cnbH_2	3.5.99.5		2-amino-5-chloromuconic acid deaminase
MFNABGGJ_01371	CDS	1035				hypothetical protein
MFNABGGJ_01372	CDS	2421	lon_1	3.4.21.53	COG0466	Lon protease
MFNABGGJ_01373	CDS	393				hypothetical protein
MFNABGGJ_01374	CDS	630				hypothetical protein
MFNABGGJ_01375	CDS	432				hypothetical protein
MFNABGGJ_01376	CDS	744	cmoA_1	2.1.3.-	COG0500	Carboxy-S-adenosyl-L-methionine synthase
MFNABGGJ_01377	CDS	957	cmoB_1	2.5.1.-	COG0500	tRNA U34 carboxymethyltransferase
MFNABGGJ_01378	CDS	498	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
MFNABGGJ_01379	CDS	1380	mco	1.-.-.-		Multicopper oxidase mco
MFNABGGJ_01380	CDS	744	pdxJ	2.6.99.2		Pyridoxine 5'-phosphate synthase
MFNABGGJ_01381	CDS	690	recO		COG1381	DNA repair protein RecO
MFNABGGJ_01382	CDS	903	era		COG1159	GTPase Era
MFNABGGJ_01383	CDS	627	rnc	3.1.26.3	COG0571	Ribonuclease 3
MFNABGGJ_01384	CDS	855	lepB_1	3.4.21.89	COG0681	Signal peptidase I
MFNABGGJ_01385	CDS	1800	lepA	3.6.5.-	COG0481	Elongation factor 4
MFNABGGJ_01386	CDS	1080	lptG		COG0795	Lipopolysaccharide export system permease protein LptG
MFNABGGJ_01387	CDS	1119	lptF		COG0795	Lipopolysaccharide export system permease protein LptF
MFNABGGJ_01388	CDS	1491	pepA	3.4.11.1	COG0260	Cytosol aminopeptidase
MFNABGGJ_01389	CDS	429	holC	2.7.7.7	COG2927	DNA polymerase III subunit chi
MFNABGGJ_01390	CDS	411				hypothetical protein
MFNABGGJ_01391	CDS	1614				hypothetical protein
MFNABGGJ_01392	CDS	2847	valS	6.1.1.9	COG0525	Valine--tRNA ligase
MFNABGGJ_01393	CDS	5193				hypothetical protein
MFNABGGJ_01394	CDS	1023	rlmF	2.1.1.181	COG3129	Ribosomal RNA large subunit methyltransferase F
MFNABGGJ_01395	CDS	282	hupB_2		COG0776	DNA-binding protein HRm
MFNABGGJ_01396	CDS	1005	yejK		COG3081	Nucleoid-associated protein YejK
MFNABGGJ_01397	CDS	351				hypothetical protein
MFNABGGJ_01398	CDS	2241				hypothetical protein
MFNABGGJ_01399	CDS	990				hypothetical protein
MFNABGGJ_01400	CDS	561	fecI_4		COG1595	putative RNA polymerase sigma factor FecI
MFNABGGJ_01401	CDS	327				hypothetical protein
MFNABGGJ_01402	CDS	1575				hypothetical protein
MFNABGGJ_01403	CDS	303				hypothetical protein
MFNABGGJ_01404	CDS	489	fecI_5		COG1595	putative RNA polymerase sigma factor FecI
MFNABGGJ_01405	CDS	942	fecR_4		COG3712	Protein FecR
MFNABGGJ_01406	CDS	2346	fecA_2		COG4772	Fe(3+) dicitrate transport protein FecA
MFNABGGJ_01407	CDS	873	dmlR_1			HTH-type transcriptional regulator DmlR
MFNABGGJ_01408	CDS	1509	stp_1			Multidrug resistance protein Stp
MFNABGGJ_01409	CDS	411				hypothetical protein
MFNABGGJ_01410	CDS	948	gcvA_4			Glycine cleavage system transcriptional activator
MFNABGGJ_01411	CDS	1377	sdaA_1	4.3.1.17	COG1760	L-serine dehydratase 1
MFNABGGJ_01412	CDS	1296	sdaC_1		COG0814	Serine transporter
MFNABGGJ_01413	CDS	318				hypothetical protein
MFNABGGJ_01414	CDS	489	psiE			Protein PsiE
MFNABGGJ_01415	CDS	336				hypothetical protein
MFNABGGJ_01416	CDS	261				hypothetical protein
MFNABGGJ_01417	CDS	726	clcD	3.1.1.45		Carboxymethylenebutenolidase
MFNABGGJ_01418	CDS	1308				hypothetical protein
MFNABGGJ_01419	CDS	1020	ldh	1.4.1.9		Leucine dehydrogenase
MFNABGGJ_01420	CDS	804				hypothetical protein
MFNABGGJ_01421	CDS	825	COQ5_2	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
MFNABGGJ_01422	CDS	1368	pcaK_1		COG0477	4-hydroxybenzoate transporter PcaK
MFNABGGJ_01423	CDS	636	nagL_1	5.2.1.4		Maleylpyruvate isomerase
MFNABGGJ_01424	CDS	1287				hypothetical protein
MFNABGGJ_01425	CDS	1284	hmgA	1.13.11.5	COG3508	Homogentisate 1,2-dioxygenase
MFNABGGJ_01426	CDS	792	kdgR_1			Pectin degradation repressor protein KdgR
MFNABGGJ_01427	CDS	2481	malT_2			HTH-type transcriptional regulator MalT
MFNABGGJ_01428	CDS	1368				putative protein
MFNABGGJ_01429	CDS	1791				hypothetical protein
MFNABGGJ_01430	CDS	912		1.1.1.-	COG1028	Putative short-chain type dehydrogenase/reductase
MFNABGGJ_01431	CDS	573	efp		COG0231	Elongation factor P
MFNABGGJ_01432	CDS	1134				hypothetical protein
MFNABGGJ_01433	CDS	369				hypothetical protein
MFNABGGJ_01434	CDS	483				hypothetical protein
MFNABGGJ_01435	CDS	975	cysB			HTH-type transcriptional regulator CysB
MFNABGGJ_01436	CDS	501				hypothetical protein
MFNABGGJ_01437	CDS	918				hypothetical protein
MFNABGGJ_01438	CDS	966	panE_1	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
MFNABGGJ_01439	CDS	393				hypothetical protein
MFNABGGJ_01440	CDS	282				hypothetical protein
MFNABGGJ_01441	CDS	1077	aroF_1	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive
MFNABGGJ_01442	CDS	282				hypothetical protein
MFNABGGJ_01443	CDS	252				hypothetical protein
MFNABGGJ_01444	CDS	969				hypothetical protein
MFNABGGJ_01445	CDS	294				hypothetical protein
MFNABGGJ_01446	CDS	606	tesA	3.1.1.1	COG2755	Esterase TesA
MFNABGGJ_01447	CDS	684	lolD_1	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
MFNABGGJ_01448	CDS	2511				hypothetical protein
MFNABGGJ_01449	CDS	537	greB		COG0782	Transcription elongation factor GreB
MFNABGGJ_01450	CDS	1212				hypothetical protein
MFNABGGJ_01451	CDS	927	btuD_3	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
MFNABGGJ_01452	CDS	726				hypothetical protein
MFNABGGJ_01453	CDS	1806				hypothetical protein
MFNABGGJ_01454	CDS	309				hypothetical protein
MFNABGGJ_01455	CDS	435	mhqP	1.-.-.-	COG2259	Putative oxidoreductase MhqP
MFNABGGJ_01456	CDS	1422	mltF_4	4.2.2.-	COG4623	Membrane-bound lytic murein transglycosylase F
MFNABGGJ_01457	CDS	807	tatD	3.1.11.-	COG0084	3'-5' ssDNA/RNA exonuclease TatD
MFNABGGJ_01458	CDS	1482				hypothetical protein
MFNABGGJ_01459	CDS	273				hypothetical protein
MFNABGGJ_01460	CDS	798				hypothetical protein
MFNABGGJ_01461	CDS	765				hypothetical protein
MFNABGGJ_01462	CDS	279				hypothetical protein
MFNABGGJ_01463	CDS	1038			COG1752	putative NTE family protein
MFNABGGJ_01464	CDS	696	kdpE_1		COG0745	KDP operon transcriptional regulatory protein KdpE
MFNABGGJ_01465	CDS	2652	kdpD_1	2.7.13.3	COG2205	Sensor protein KdpD
MFNABGGJ_01466	CDS	546	kdpC_1		COG2156	Potassium-transporting ATPase KdpC subunit
MFNABGGJ_01467	CDS	2064	kdpB_1	7.2.2.6	COG2216	Potassium-transporting ATPase ATP-binding subunit
MFNABGGJ_01468	CDS	1698	kdpA_1		COG2060	Potassium-transporting ATPase potassium-binding subunit
MFNABGGJ_01469	CDS	90				hypothetical protein
MFNABGGJ_01470	CDS	1365	yhdG_1		COG0531	putative amino acid permease YhdG
MFNABGGJ_01471	CDS	168				hypothetical protein
MFNABGGJ_01472	CDS	579				hypothetical protein
MFNABGGJ_01473	CDS	333			COG1555	putative protein
MFNABGGJ_01474	CDS	1359				hypothetical protein
MFNABGGJ_01475	CDS	798	ppm1	2.4.1.-		Polyprenol monophosphomannose synthase
MFNABGGJ_01476	CDS	363	arnE_3			4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE
MFNABGGJ_01477	CDS	834				hypothetical protein
MFNABGGJ_01478	CDS	792				hypothetical protein
MFNABGGJ_01479	CDS	147				hypothetical protein
MFNABGGJ_01480	CDS	1131				hypothetical protein
MFNABGGJ_01481	CDS	1026		2.4.-.-		putative glycosyltransferase
MFNABGGJ_01482	CDS	2010	pglF	4.2.1.135	COG1086	UDP-N-acetyl-alpha-D-glucosamine C6 dehydratase
MFNABGGJ_01483	CDS	1026	wecA	2.7.8.33		Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase
MFNABGGJ_01484	CDS	960	gnu	5.1.3.26	COG0451	N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 4-epimerase
MFNABGGJ_01485	CDS	1083	pglA	2.4.1.290		N,N'-diacetylbacillosaminyl-diphospho-undecaprenol alpha-1,3-N-acetylgalactosaminyltransferase
MFNABGGJ_01486	CDS	1002			COG0451	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase
MFNABGGJ_01487	CDS	1053				hypothetical protein
MFNABGGJ_01488	CDS	843				hypothetical protein
MFNABGGJ_01489	CDS	1179				hypothetical protein
MFNABGGJ_01490	CDS	1008	capD	5.1.3.2	COG1086	UDP-glucose 4-epimerase
MFNABGGJ_01491	CDS	1365				hypothetical protein
MFNABGGJ_01492	CDS	1149	rfbE_1	2.6.1.102	COG0399	GDP-perosamine synthase
MFNABGGJ_01493	CDS	1104	rfbE_2	2.6.1.102	COG0399	GDP-perosamine synthase
MFNABGGJ_01494	CDS	822				hypothetical protein
MFNABGGJ_01495	CDS	1215				hypothetical protein
MFNABGGJ_01496	CDS	243				hypothetical protein
MFNABGGJ_01497	CDS	297	ihfB		COG0776	Integration host factor subunit beta
MFNABGGJ_01498	CDS	1695	rpsA		COG0539	30S ribosomal protein S1
MFNABGGJ_01499	CDS	690	cmk	2.7.4.25		Cytidylate kinase
MFNABGGJ_01500	CDS	2211	aroA_1	2.5.1.19		3-phosphoshikimate 1-carboxyvinyltransferase
MFNABGGJ_01501	CDS	1113	hisC_1	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
MFNABGGJ_01502	CDS	1095	pheA			Bifunctional chorismate mutase/prephenate dehydratase
MFNABGGJ_01503	CDS	975	serC	2.6.1.52	COG1932	Phosphoserine aminotransferase
MFNABGGJ_01504	CDS	2664	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
MFNABGGJ_01505	CDS	1077	mtnA	5.3.1.23	COG0182	Methylthioribose-1-phosphate isomerase
MFNABGGJ_01506	CDS	1332	mtaD	3.5.4.28	COG0402	5-methylthioadenosine/S-adenosylhomocysteine deaminase
MFNABGGJ_01507	CDS	699	ubiG	2.1.1.222	COG2227	Ubiquinone biosynthesis O-methyltransferase
MFNABGGJ_01508	CDS	672	mupP_1	3.1.3.105	COG0546	N-acetylmuramic acid 6-phosphate phosphatase
MFNABGGJ_01509	CDS	741	yciK	1.-.-.-	COG1028	putative oxidoreductase YciK
MFNABGGJ_01510	CDS	1515	gsiB_1		COG0747	Glutathione-binding protein GsiB
MFNABGGJ_01511	CDS	972	gsiA_1	7.4.2.10	COG1123	Glutathione import ATP-binding protein GsiA
MFNABGGJ_01512	CDS	957	oppD		COG0444	Oligopeptide transport ATP-binding protein OppD
MFNABGGJ_01513	CDS	858	ddpC_1		COG1173	putative D,D-dipeptide transport system permease protein DdpC
MFNABGGJ_01514	CDS	948	gsiC_1		COG0601	Glutathione transport system permease protein GsiC
MFNABGGJ_01515	CDS	888	pip_2	3.4.11.5		Proline iminopeptidase
MFNABGGJ_01516	CDS	765	rpaR_1		COG2771	HTH-type quorum sensing-dependent transcriptional regulator RpaR
MFNABGGJ_01517	CDS	933	laaA	3.5.1.101		L-amino acid amidase
MFNABGGJ_01518	CDS	1512	uacT_1		COG2233	Uric acid transporter UacT
MFNABGGJ_01519	CDS	951	hdfR_4			HTH-type transcriptional regulator HdfR
MFNABGGJ_01520	CDS	834				hypothetical protein
MFNABGGJ_01521	CDS	1194	ydhC_2			Inner membrane transport protein YdhC
MFNABGGJ_01522	CDS	933	yahB			putative HTH-type transcriptional regulator YahB
MFNABGGJ_01523	CDS	1170	argD_2	2.6.1.11	COG4992	Acetylornithine aminotransferase
MFNABGGJ_01524	CDS	906	dmlR_2			HTH-type transcriptional regulator DmlR
MFNABGGJ_01525	CDS	624				hypothetical protein
MFNABGGJ_01526	CDS	1194	fabV	1.3.1.9	COG3007	Enoyl-[acyl-carrier-protein] reductase [NADH]
MFNABGGJ_01527	CDS	825				hypothetical protein
MFNABGGJ_01528	CDS	1374	ppnN	3.2.2.-	COG1611	Pyrimidine/purine nucleotide 5'-monophosphate nucleosidase
MFNABGGJ_01529	CDS	393	yjgH		COG0251	RutC family protein YjgH
MFNABGGJ_01530	CDS	369				hypothetical protein
MFNABGGJ_01531	CDS	330				hypothetical protein
MFNABGGJ_01532	CDS	900				hypothetical protein
MFNABGGJ_01533	CDS	849	gltC_3			HTH-type transcriptional regulator GltC
MFNABGGJ_01534	CDS	894	dmlR_3			HTH-type transcriptional regulator DmlR
MFNABGGJ_01535	CDS	654				hypothetical protein
MFNABGGJ_01536	CDS	1647	mqo_1	1.1.5.4	COG0579	Malate:quinone oxidoreductase
MFNABGGJ_01537	CDS	1188	ydhP_2		COG2814	Inner membrane transport protein YdhP
MFNABGGJ_01538	CDS	222				hypothetical protein
MFNABGGJ_01539	CDS	138				hypothetical protein
MFNABGGJ_01540	CDS	939	dusA	1.3.1.-	COG0042	tRNA-dihydrouridine(20/20a) synthase
MFNABGGJ_01541	CDS	927	tal	2.2.1.2		Transaldolase
MFNABGGJ_01542	CDS	483				hypothetical protein
MFNABGGJ_01543	CDS	1182	rssB_3			Regulator of RpoS
MFNABGGJ_01544	CDS	690	mlaA_2		COG2853	Intermembrane phospholipid transport system lipoprotein MlaA
MFNABGGJ_01545	CDS	612	phnX_2	3.11.1.1	COG0637	Phosphonoacetaldehyde hydrolase
MFNABGGJ_01546	CDS	267				hypothetical protein
MFNABGGJ_01547	CDS	831	queF	1.7.1.13	COG0780	NADPH-dependent 7-cyano-7-deazaguanine reductase
MFNABGGJ_01548	CDS	525				hypothetical protein
MFNABGGJ_01549	CDS	681	copR_1			Transcriptional activator protein CopR
MFNABGGJ_01550	CDS	1353	sasA_5	2.7.-.-		Adaptive-response sensory-kinase SasA
MFNABGGJ_01551	CDS	1245	lolE_1		COG4591	Lipoprotein-releasing system transmembrane protein LolE
MFNABGGJ_01552	CDS	699	lolD_2	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
MFNABGGJ_01553	CDS	1251	lolE_2		COG4591	Lipoprotein-releasing system transmembrane protein LolE
MFNABGGJ_01554	CDS	585				hypothetical protein
MFNABGGJ_01555	CDS	723	ugpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, cytoplasmic
MFNABGGJ_01556	CDS	1395	sthA	1.6.1.1	COG1249	Soluble pyridine nucleotide transhydrogenase
MFNABGGJ_01557	CDS	543				hypothetical protein
MFNABGGJ_01558	CDS	1299	proP_1			Proline/betaine transporter
MFNABGGJ_01559	CDS	1464	gap2	1.2.1.-		Glyceraldehyde-3-phosphate dehydrogenase-like protein
MFNABGGJ_01560	CDS	3450	mfd	3.6.4.-	COG1197	Transcription-repair-coupling factor
MFNABGGJ_01561	CDS	570				hypothetical protein
MFNABGGJ_01562	CDS	2691				hypothetical protein
MFNABGGJ_01563	CDS	1011	nagZ	3.2.1.52	COG1472	Beta-hexosaminidase
MFNABGGJ_01564	CDS	708				hypothetical protein
MFNABGGJ_01565	CDS	609	lexA_2	3.4.21.88	COG1974	LexA repressor
MFNABGGJ_01566	CDS	474	sulA		COG5404	Cell division inhibitor SulA
MFNABGGJ_01567	CDS	276				hypothetical protein
MFNABGGJ_01568	CDS	522				hypothetical protein
MFNABGGJ_01569	CDS	2622	topA	5.6.2.1	COG0550	DNA topoisomerase 1
MFNABGGJ_01570	CDS	237				hypothetical protein
MFNABGGJ_01571	CDS	1176	fadA_1	2.3.1.16		3-ketoacyl-CoA thiolase
MFNABGGJ_01572	CDS	2148	fadB			Fatty acid oxidation complex subunit alpha
MFNABGGJ_01573	CDS	438				hypothetical protein
MFNABGGJ_01574	CDS	438	uspA2		COG0589	Universal stress protein A 
MFNABGGJ_01575	CDS	1920	uup		COG0488	ABC transporter ATP-binding protein uup
MFNABGGJ_01576	CDS	1929	slt	4.2.2.-	COG0741	Soluble lytic murein transglycosylase
MFNABGGJ_01577	CDS	1770	msbA_2	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
MFNABGGJ_01578	CDS	174				hypothetical protein
MFNABGGJ_01579	CDS	1143	pdxB_1	1.1.1.290	COG0111	Erythronate-4-phosphate dehydrogenase
MFNABGGJ_01580	CDS	1383	norM		COG0534	Multidrug resistance protein NorM
MFNABGGJ_01581	CDS	252	tusA_1		COG0425	Sulfur carrier protein TusA
MFNABGGJ_01582	CDS	1074	rlmM	2.1.1.186	COG2933	Ribosomal RNA large subunit methyltransferase M
MFNABGGJ_01583	CDS	2742	acnA	4.2.1.3	COG1048	Aconitate hydratase A
MFNABGGJ_01584	CDS	798				hypothetical protein
MFNABGGJ_01585	CDS	1566	aer_1		COG0840	Aerotaxis receptor
MFNABGGJ_01586	CDS	693				hypothetical protein
MFNABGGJ_01587	CDS	1425	ccoN1_1	1.9.3.1	COG3278	Cbb3-type cytochrome c oxidase subunit CcoN1
MFNABGGJ_01588	CDS	609				hypothetical protein
MFNABGGJ_01589	CDS	207				hypothetical protein
MFNABGGJ_01590	CDS	948	ccoP1			Cbb3-type cytochrome c oxidase subunit CcoP1
MFNABGGJ_01591	CDS	1443	ccoN1_2	1.9.3.1	COG3278	Cbb3-type cytochrome c oxidase subunit CcoN1
MFNABGGJ_01592	CDS	609				hypothetical protein
MFNABGGJ_01593	CDS	174				hypothetical protein
MFNABGGJ_01594	CDS	978	ccoP2		COG2010	Cbb3-type cytochrome c oxidase subunit CcoP2
MFNABGGJ_01595	CDS	1416				hypothetical protein
MFNABGGJ_01596	CDS	540				hypothetical protein
MFNABGGJ_01597	CDS	2451	copA_1	7.2.2.8		putative copper-importing P-type ATPase A
MFNABGGJ_01598	CDS	219				hypothetical protein
MFNABGGJ_01599	CDS	684				hypothetical protein
MFNABGGJ_01600	CDS	1383	hemN	1.3.98.3	COG0635	Oxygen-independent coproporphyrinogen III oxidase
MFNABGGJ_01601	CDS	489				hypothetical protein
MFNABGGJ_01602	CDS	735	anr			Transcriptional activator protein Anr
MFNABGGJ_01603	CDS	549	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
MFNABGGJ_01604	CDS	1149	mmgC_2	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
MFNABGGJ_01605	CDS	603	recR		COG0353	Recombination protein RecR
MFNABGGJ_01606	CDS	1035	curA_1	1.3.1.-	COG2130	NADPH-dependent curcumin reductase
MFNABGGJ_01607	CDS	339	ybaB		COG0718	Nucleoid-associated protein YbaB
MFNABGGJ_01608	CDS	2055	ruvB_1	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvB
MFNABGGJ_01609	CDS	750				hypothetical protein
MFNABGGJ_01610	CDS	1692				hypothetical protein
MFNABGGJ_01611	CDS	1566	aer_2		COG0840	Aerotaxis receptor
MFNABGGJ_01612	CDS	315				hypothetical protein
MFNABGGJ_01613	CDS	372	ehpR			Phenazine antibiotic resistance protein EhpR
MFNABGGJ_01614	CDS	969				hypothetical protein
MFNABGGJ_01615	CDS	864	gltR_2		COG0583	HTH-type transcriptional regulator GltR
MFNABGGJ_01616	CDS	912				hypothetical protein
MFNABGGJ_01617	CDS	612				hypothetical protein
MFNABGGJ_01618	CDS	1047				hypothetical protein
MFNABGGJ_01619	CDS	1167			COG4307	putative protein
MFNABGGJ_01620	CDS	2358	ligA	6.5.1.2		DNA ligase
MFNABGGJ_01621	CDS	852	zipA			Cell division protein ZipA
MFNABGGJ_01622	CDS	3489	smc_1		COG1196	Chromosome partition protein Smc
MFNABGGJ_01623	CDS	660				hypothetical protein
MFNABGGJ_01624	CDS	1449				hypothetical protein
MFNABGGJ_01625	CDS	2400	pucD	1.17.1.4	COG1529	putative xanthine dehydrogenase subunit D
MFNABGGJ_01626	CDS	843				hypothetical protein
MFNABGGJ_01627	CDS	1305	guaD_1	3.5.4.3	COG0402	Guanine deaminase
MFNABGGJ_01628	CDS	765	nanR			HTH-type transcriptional repressor NanR
MFNABGGJ_01629	CDS	1191	ydcO		COG3135	Inner membrane protein YdcO
MFNABGGJ_01630	CDS	345			COG3171	putative protein
MFNABGGJ_01631	CDS	1461	dacC_1	3.4.16.4	COG2027	D-alanyl-D-alanine carboxypeptidase DacC
MFNABGGJ_01632	CDS	2400				hypothetical protein
MFNABGGJ_01633	CDS	2265	rlmL_1		COG0116	Ribosomal RNA large subunit methyltransferase K/L
MFNABGGJ_01634	CDS	1026	pyrD	1.3.5.2	COG0167	Dihydroorotate dehydrogenase (quinone)
MFNABGGJ_01635	CDS	462				hypothetical protein
MFNABGGJ_01636	CDS	366				hypothetical protein
MFNABGGJ_01637	CDS	1464	sctC_1		COG1450	Type 3 secretion system secretin
MFNABGGJ_01638	CDS	1200	nrtA			Nitrate/nitrite binding protein NrtA
MFNABGGJ_01639	CDS	576	pdtaR		COG3707	putative transcriptional regulatory protein pdtaR
MFNABGGJ_01640	CDS	1014	fbpA_1			Fe(3+)-binding periplasmic protein
MFNABGGJ_01641	CDS	2214				hypothetical protein
